_id,marca_vehiculo,modelo_vehiculo,edad_vehiculo,componente,coste_material,coste_mano_obra
67a100198d8acdc8201d7b1d,Renault,Megane,6,Parachoques,90.07,99.08
67a100198d8acdc8201d7b1e,Renault,Megane,6,Guardabarros,142.67,149.8
67a100198d8acdc8201d7b1f,Renault,Megane,6,Capo,187.99,206.79
67a100198d8acdc8201d7b20,Renault,Megane,6,Maletero,128.14,140.95
67a100198d8acdc8201d7b21,Renault,Megane,6,Motor,438.95,570.63
67a100198d8acdc8201d7b22,Citroen,C3,20,Puerta,87.47,96.22
67a100198d8acdc8201d7b23,Citroen,C3,20,Faro,50.36,52.88
67a100198d8acdc8201d7b24,Citroen,C3,20,Parabrisas,137.17,157.75
67a100198d8acdc8201d7b25,Citroen,C3,20,Luna,122.56,134.82
67a100198d8acdc8201d7b26,Citroen,C3,20,Ventana,50.42,52.94
67a100198d8acdc8201d7b27,Citroen,C3,20,Techo,123.86,142.44
67a100198d8acdc8201d7b28,Citroen,C3,20,Rueda,57.38,57.38
67a100198d8acdc8201d7b29,Citroen,C3,20,Parachoques,90.34,99.37
67a100198d8acdc8201d7b2a,Citroen,C3,20,Guardabarros,93.9,98.6
67a100198d8acdc8201d7b2b,Citroen,C3,20,Capo,88.15,96.97
67a1001a8d8acdc8201d7b2c,Citroen,C3,20,Maletero,103.7,114.07
67a1001a8d8acdc8201d7b2d,Citroen,C3,20,Motor,266.05,345.87
67a1001a8d8acdc8201d7b2e,Fiat,Punto,8,Puerta,91.27,100.4
67a1001a8d8acdc8201d7b2f,Fiat,Punto,8,Faro,125.95,132.25
67a1001a8d8acdc8201d7b30,Fiat,Punto,8,Parabrisas,239.62,275.56
67a1001a8d8acdc8201d7b31,Fiat,Punto,8,Luna,175.38,192.92
67a1001a8d8acdc8201d7b32,Fiat,Punto,8,Ventana,75.02,78.77
67a1001a8d8acdc8201d7b33,Fiat,Punto,8,Techo,213.9,245.98
67a1001a8d8acdc8201d7b34,Fiat,Punto,8,Rueda,64,64
67a1001a8d8acdc8201d7b35,Fiat,Punto,8,Parachoques,158.73,174.6
67a1001a8d8acdc8201d7b36,Fiat,Punto,8,Guardabarros,122.23,128.34
67a1001a8d8acdc8201d7b37,Fiat,Punto,8,Capo,122.83,135.11
67a1001a8d8acdc8201d7b38,Fiat,Punto,8,Maletero,96.14,105.75
67a1001a8d8acdc8201d7b39,Fiat,Punto,8,Motor,432.26,561.94
67a1001a8d8acdc8201d7b3a,Renault,Megane,14,Puerta,69.6,76.56
67a1001a8d8acdc8201d7b3b,Renault,Megane,14,Faro,82.37,86.49
67a1001a8d8acdc8201d7b3c,Renault,Megane,14,Parabrisas,166.21,191.14
67a1001a8d8acdc8201d7b3d,Renault,Megane,14,Luna,112.59,123.85
67a1001a8d8acdc8201d7b3e,Renault,Megane,14,Ventana,76.46,80.28
67a1001a8d8acdc8201d7b3f,Renault,Megane,14,Techo,127.52,146.65
67a1001a8d8acdc8201d7b40,Renault,Megane,14,Rueda,75.33,75.33
67a1001a8d8acdc8201d7b41,Renault,Megane,14,Parachoques,115.41,126.95
67a1001a8d8acdc8201d7b42,Renault,Megane,14,Guardabarros,121.87,127.96
67a1001a8d8acdc8201d7b43,Renault,Megane,14,Capo,101.28,111.41
67a1001a8d8acdc8201d7b44,Renault,Megane,14,Maletero,117.84,129.62
67a1001a8d8acdc8201d7b45,Renault,Megane,14,Motor,213.57,277.64
67a1001a8d8acdc8201d7b46,Mitsubishi,Mirage,5,Puerta,205.37,225.91
67a1001b8d8acdc8201d7b47,Mitsubishi,Mirage,5,Faro,116.59,122.42
67a1001b8d8acdc8201d7b48,Mitsubishi,Mirage,5,Parabrisas,255.32,293.62
67a1001b8d8acdc8201d7b49,Mitsubishi,Mirage,5,Luna,134.71,148.18
67a1001b8d8acdc8201d7b4a,Mitsubishi,Mirage,5,Ventana,89.89,94.38
67a1001b8d8acdc8201d7b4b,Mitsubishi,Mirage,5,Techo,130.82,150.44
67a1001b8d8acdc8201d7b4c,Mitsubishi,Mirage,5,Rueda,68.23,68.23
67a1001b8d8acdc8201d7b4d,Mitsubishi,Mirage,5,Parachoques,91.3,100.43
67a1001b8d8acdc8201d7b4e,Mitsubishi,Mirage,5,Guardabarros,139.35,146.32
67a1001b8d8acdc8201d7b4f,Mitsubishi,Mirage,5,Capo,207.64,228.4
67a1001b8d8acdc8201d7b50,Mitsubishi,Mirage,5,Maletero,111.07,122.18
67a1001b8d8acdc8201d7b51,Mitsubishi,Mirage,5,Motor,271.91,353.48
67a1001b8d8acdc8201d7b52,Toyota,Corolla,6,Puerta,149.06,163.97
67a1001b8d8acdc8201d7b53,Toyota,Corolla,6,Faro,109.69,115.17
67a1001b8d8acdc8201d7b54,Toyota,Corolla,6,Parabrisas,242.6,278.99
67a1001b8d8acdc8201d7b55,Toyota,Corolla,6,Luna,126.16,138.78
67a1001b8d8acdc8201d7b56,Toyota,Corolla,6,Ventana,101.66,106.74
67a1001b8d8acdc8201d7b57,Toyota,Corolla,6,Techo,237.19,272.77
67a1001b8d8acdc8201d7b58,Toyota,Corolla,6,Rueda,106.6,106.6
67a1001b8d8acdc8201d7b59,Toyota,Corolla,6,Parachoques,114.35,125.79
67a1001b8d8acdc8201d7b5a,Toyota,Corolla,6,Guardabarros,123.04,129.19
67a1001b8d8acdc8201d7b5b,Toyota,Corolla,6,Capo,153.54,168.89
67a1001b8d8acdc8201d7b5c,Toyota,Corolla,6,Maletero,94.18,103.6
67a1001b8d8acdc8201d7b5d,Toyota,Corolla,6,Motor,428.52,557.08
67a1001b8d8acdc8201d7b5e,Jeep,Compass,16,Puerta,115.19,126.71
67a1001b8d8acdc8201d7b5f,Jeep,Compass,16,Faro,75.12,78.88
67a1001b8d8acdc8201d7b60,Jeep,Compass,16,Parabrisas,162.35,186.7
67a1001c8d8acdc8201d7b61,Jeep,Compass,16,Luna,81.59,89.75
67a1001c8d8acdc8201d7b62,Jeep,Compass,16,Ventana,60.54,63.57
67a1001c8d8acdc8201d7b63,Jeep,Compass,16,Techo,146.48,168.45
67a1001c8d8acdc8201d7b64,Jeep,Compass,16,Rueda,83.56,83.56
67a1001c8d8acdc8201d7b65,Jeep,Compass,16,Parachoques,69.7,76.67
67a1001c8d8acdc8201d7b66,Jeep,Compass,16,Guardabarros,72.72,76.36
67a1001c8d8acdc8201d7b67,Jeep,Compass,16,Capo,151.9,167.09
67a1001c8d8acdc8201d7b68,Jeep,Compass,16,Maletero,141.62,155.78
67a1001c8d8acdc8201d7b69,Jeep,Compass,16,Motor,314.12,408.36
67a1001c8d8acdc8201d7b6a,Renault,Kadjar,19,Puerta,121.58,133.74
67a1001c8d8acdc8201d7b6b,Renault,Kadjar,19,Faro,59.04,61.99
67a1001c8d8acdc8201d7b6c,Renault,Kadjar,19,Parabrisas,98.28,113.02
67a1001c8d8acdc8201d7b6d,Renault,Kadjar,19,Luna,114.43,125.87
67a1001c8d8acdc8201d7b6e,Renault,Kadjar,19,Ventana,74.9,78.65
67a1001c8d8acdc8201d7b6f,Renault,Kadjar,19,Techo,120.68,138.78
67a1001c8d8acdc8201d7b70,Renault,Kadjar,19,Rueda,64.82,64.82
67a1001c8d8acdc8201d7b71,Renault,Kadjar,19,Parachoques,80.2,88.22
67a1001c8d8acdc8201d7b72,Renault,Kadjar,19,Guardabarros,83.9,88.1
67a1001c8d8acdc8201d7b73,Renault,Kadjar,19,Capo,95.94,105.53
67a1001c8d8acdc8201d7b74,Renault,Kadjar,19,Maletero,104.78,115.26
67a1001c8d8acdc8201d7b75,Renault,Kadjar,19,Motor,277.12,360.26
67a1001c8d8acdc8201d7b76,Volvo,XC60,8,Puerta,190.49,209.54
67a1001c8d8acdc8201d7b77,Volvo,XC60,8,Faro,122.23,128.34
67a1001c8d8acdc8201d7b78,Volvo,XC60,8,Parabrisas,229.17,263.55
67a1001c8d8acdc8201d7b79,Volvo,XC60,8,Luna,116.99,128.69
67a1001c8d8acdc8201d7b7a,Volvo,XC60,8,Ventana,122.85,128.99
67a1001c8d8acdc8201d7b7b,Volvo,XC60,8,Techo,208.9,240.23
67a1001d8d8acdc8201d7b7c,Volvo,XC60,8,Rueda,100.67,100.67
67a1001d8d8acdc8201d7b7d,Volvo,XC60,8,Parachoques,86.48,95.13
67a1001d8d8acdc8201d7b7e,Volvo,XC60,8,Guardabarros,79.01,82.96
67a1001d8d8acdc8201d7b7f,Volvo,XC60,8,Capo,119.72,131.69
67a1001d8d8acdc8201d7b80,Volvo,XC60,8,Maletero,94.73,104.2
67a1001d8d8acdc8201d7b81,Volvo,XC60,8,Motor,351.27,456.65
67a1001d8d8acdc8201d7b82,Tesla,Roadster,19,Puerta,106.63,117.29
67a1001d8d8acdc8201d7b83,Tesla,Roadster,19,Faro,56.02,58.82
67a1001d8d8acdc8201d7b84,Tesla,Roadster,19,Parabrisas,101.69,116.94
67a1001d8d8acdc8201d7b85,Tesla,Roadster,19,Luna,110.11,121.12
67a1001d8d8acdc8201d7b86,Tesla,Roadster,19,Ventana,73.17,76.83
67a1001d8d8acdc8201d7b87,Tesla,Roadster,19,Techo,115.74,133.1
67a1001d8d8acdc8201d7b88,Tesla,Roadster,19,Rueda,38.02,38.02
67a1001d8d8acdc8201d7b89,Tesla,Roadster,19,Parachoques,70.83,77.91
67a1001d8d8acdc8201d7b8a,Tesla,Roadster,19,Guardabarros,79.02,82.97
67a1001d8d8acdc8201d7b8b,Tesla,Roadster,19,Capo,133.58,146.94
67a1001d8d8acdc8201d7b8c,Tesla,Roadster,19,Maletero,60.69,66.76
67a1001d8d8acdc8201d7b8d,Tesla,Roadster,19,Motor,158.07,205.49
67a1001d8d8acdc8201d7b8e,Kia,Soul,20,Puerta,88.07,96.88
67a1001d8d8acdc8201d7b8f,Kia,Soul,20,Faro,61.81,64.9
67a1001d8d8acdc8201d7b90,Kia,Soul,20,Parabrisas,130.1,149.61
67a1001d8d8acdc8201d7b91,Kia,Soul,20,Luna,74.29,81.72
67a1001d8d8acdc8201d7b92,Kia,Soul,20,Ventana,52.64,55.27
67a1001d8d8acdc8201d7b93,Kia,Soul,20,Techo,71.41,82.12
67a1001d8d8acdc8201d7b94,Kia,Soul,20,Rueda,38.52,38.52
67a1001d8d8acdc8201d7b95,Kia,Soul,20,Parachoques,85.4,93.94
67a1001e8d8acdc8201d7b96,Kia,Soul,20,Guardabarros,63.9,67.09
67a1001e8d8acdc8201d7b97,Kia,Soul,20,Capo,125.37,137.91
67a1001e8d8acdc8201d7b98,Kia,Soul,20,Maletero,98.5,108.35
67a1001e8d8acdc8201d7b99,Kia,Soul,20,Motor,222.34,289.04
67a1001e8d8acdc8201d7b9a,Lamborghini,Urus,4,Puerta,189.4,208.34
67a1001e8d8acdc8201d7b9b,Lamborghini,Urus,4,Faro,154.15,161.86
67a1001e8d8acdc8201d7b9c,Lamborghini,Urus,4,Parabrisas,226.95,260.99
67a1001e8d8acdc8201d7b9d,Lamborghini,Urus,4,Luna,199,218.9
67a1001e8d8acdc8201d7b9e,Lamborghini,Urus,4,Ventana,116.8,122.64
67a1001e8d8acdc8201d7b9f,Lamborghini,Urus,4,Techo,247.29,284.38
67a1001e8d8acdc8201d7ba0,Lamborghini,Urus,4,Rueda,82.67,82.67
67a1001e8d8acdc8201d7ba1,Lamborghini,Urus,4,Parachoques,115.13,126.64
67a1001e8d8acdc8201d7ba2,Lamborghini,Urus,4,Guardabarros,125.63,131.91
67a1001e8d8acdc8201d7ba3,Lamborghini,Urus,4,Capo,206.3,226.93
67a1001e8d8acdc8201d7ba4,Lamborghini,Urus,4,Maletero,209.03,229.93
67a1001e8d8acdc8201d7ba5,Lamborghini,Urus,4,Motor,528.9,687.57
67a1001e8d8acdc8201d7ba6,Honda,Civic,2,Puerta,133.64,147
67a1001e8d8acdc8201d7ba7,Honda,Civic,2,Faro,128.46,134.88
67a1001e8d8acdc8201d7ba8,Honda,Civic,2,Parabrisas,168.82,194.14
67a1001e8d8acdc8201d7ba9,Honda,Civic,2,Luna,153.78,169.16
67a1001e8d8acdc8201d7baa,Honda,Civic,2,Ventana,103.59,108.77
67a1001e8d8acdc8201d7bab,Honda,Civic,2,Techo,135.29,155.58
67a1001e8d8acdc8201d7bac,Honda,Civic,2,Rueda,83.8,83.8
67a1001e8d8acdc8201d7bad,Honda,Civic,2,Parachoques,184.47,202.92
67a1001e8d8acdc8201d7bae,Honda,Civic,2,Guardabarros,163.67,171.85
67a1001e8d8acdc8201d7baf,Honda,Civic,2,Capo,243.97,268.37
67a1001e8d8acdc8201d7bb0,Honda,Civic,2,Maletero,192.39,211.63
67a1001f8d8acdc8201d7bb1,Honda,Civic,2,Motor,325.39,423.01
67a1001f8d8acdc8201d7bb2,Jeep,Wrangler,15,Puerta,100.21,110.23
67a1001f8d8acdc8201d7bb3,Jeep,Wrangler,15,Faro,104.91,110.16
67a1001f8d8acdc8201d7bb4,Jeep,Wrangler,15,Parabrisas,108.94,125.28
67a1001f8d8acdc8201d7bb5,Jeep,Wrangler,15,Luna,116.33,127.96
67a1001f8d8acdc8201d7bb6,Jeep,Wrangler,15,Ventana,89.47,93.94
67a1001f8d8acdc8201d7bb7,Jeep,Wrangler,15,Techo,104.21,119.84
67a1001f8d8acdc8201d7bb8,Jeep,Wrangler,15,Rueda,47.29,47.29
67a1001f8d8acdc8201d7bb9,Jeep,Wrangler,15,Parachoques,96.56,106.22
67a1001f8d8acdc8201d7bba,Jeep,Wrangler,15,Guardabarros,79.23,83.19
67a1001f8d8acdc8201d7bbb,Jeep,Wrangler,15,Capo,115.97,127.57
67a1001f8d8acdc8201d7bbc,Jeep,Wrangler,15,Maletero,118.19,130.01
67a1001f8d8acdc8201d7bbd,Jeep,Wrangler,15,Motor,340.07,442.09
67a1001f8d8acdc8201d7bbe,Subaru,Impreza,7,Puerta,138.06,151.87
67a1001f8d8acdc8201d7bbf,Subaru,Impreza,7,Faro,110.27,115.78
67a1001f8d8acdc8201d7bc0,Subaru,Impreza,7,Parabrisas,192.99,221.94
67a1001f8d8acdc8201d7bc1,Subaru,Impreza,7,Luna,155.07,170.58
67a1001f8d8acdc8201d7bc2,Subaru,Impreza,7,Ventana,73.4,77.07
67a1001f8d8acdc8201d7bc3,Subaru,Impreza,7,Techo,214.34,246.49
67a1001f8d8acdc8201d7bc4,Subaru,Impreza,7,Rueda,91.21,91.21
67a1001f8d8acdc8201d7bc5,Subaru,Impreza,7,Parachoques,84.71,93.18
67a1001f8d8acdc8201d7bc6,Subaru,Impreza,7,Guardabarros,152.48,160.1
67a1001f8d8acdc8201d7bc7,Subaru,Impreza,7,Capo,141.59,155.75
67a1001f8d8acdc8201d7bc8,Subaru,Impreza,7,Maletero,97.2,106.92
67a1001f8d8acdc8201d7bc9,Subaru,Impreza,7,Motor,385.17,500.72
67a1001f8d8acdc8201d7bca,Ferrari,Portofino,6,Puerta,186.18,204.8
67a1001f8d8acdc8201d7bcb,Ferrari,Portofino,6,Faro,131.55,138.13
67a1001f8d8acdc8201d7bcc,Ferrari,Portofino,6,Parabrisas,185.05,212.81
67a100208d8acdc8201d7bcd,Ferrari,Portofino,6,Luna,119.37,131.31
67a100208d8acdc8201d7bce,Ferrari,Portofino,6,Ventana,96.8,101.64
67a100208d8acdc8201d7bcf,Ferrari,Portofino,6,Techo,234.67,269.87
67a100208d8acdc8201d7bd0,Ferrari,Portofino,6,Rueda,118.15,118.15
67a100208d8acdc8201d7bd1,Ferrari,Portofino,6,Parachoques,152.69,167.96
67a100208d8acdc8201d7bd2,Ferrari,Portofino,6,Guardabarros,95.79,100.58
67a100208d8acdc8201d7bd3,Ferrari,Portofino,6,Capo,122.28,134.51
67a100208d8acdc8201d7bd4,Ferrari,Portofino,6,Maletero,177.8,195.58
67a100208d8acdc8201d7bd5,Ferrari,Portofino,6,Motor,303.22,394.19
67a100208d8acdc8201d7bd6,Ford,Explorer,3,Puerta,192.37,211.61
67a100208d8acdc8201d7bd7,Ford,Explorer,3,Faro,132.48,139.1
67a100208d8acdc8201d7bd8,Ford,Explorer,3,Parabrisas,219.35,252.25
67a100208d8acdc8201d7bd9,Ford,Explorer,3,Luna,116.77,128.45
67a100208d8acdc8201d7bda,Ford,Explorer,3,Ventana,146.15,153.46
67a100208d8acdc8201d7bdb,Ford,Explorer,3,Techo,162.46,186.83
67a100208d8acdc8201d7bdc,Ford,Explorer,3,Rueda,105.72,105.72
67a100208d8acdc8201d7bdd,Ford,Explorer,3,Parachoques,169.76,186.74
67a100208d8acdc8201d7bde,Ford,Explorer,3,Guardabarros,176.18,184.99
67a100208d8acdc8201d7bdf,Ford,Explorer,3,Capo,236.15,259.77
67a100208d8acdc8201d7be0,Ford,Explorer,3,Maletero,117.07,128.78
67a100208d8acdc8201d7be1,Ford,Explorer,3,Motor,378.46,492
67a100208d8acdc8201d7be2,Subaru,Outback,18,Puerta,116.4,128.04
67a100208d8acdc8201d7be3,Subaru,Outback,18,Faro,57.15,60.01
67a100208d8acdc8201d7be4,Subaru,Outback,18,Parabrisas,116.97,134.52
67a100208d8acdc8201d7be5,Subaru,Outback,18,Luna,122.64,134.9
67a100208d8acdc8201d7be6,Subaru,Outback,18,Ventana,45.34,47.61
67a100218d8acdc8201d7be7,Subaru,Outback,18,Techo,116.8,134.32
67a100218d8acdc8201d7be8,Subaru,Outback,18,Rueda,72.79,72.79
67a100218d8acdc8201d7be9,Subaru,Outback,18,Parachoques,108.57,119.43
67a100218d8acdc8201d7bea,Subaru,Outback,18,Guardabarros,83.04,87.19
67a100218d8acdc8201d7beb,Subaru,Outback,18,Capo,132.29,145.52
67a100218d8acdc8201d7bec,Subaru,Outback,18,Maletero,74.58,82.04
67a100218d8acdc8201d7bed,Subaru,Outback,18,Motor,303.22,394.19
67a100218d8acdc8201d7bee,Porsche,Macan,17,Puerta,107.32,118.05
67a100218d8acdc8201d7bef,Porsche,Macan,17,Faro,77.29,81.15
67a100218d8acdc8201d7bf0,Porsche,Macan,17,Parabrisas,163.55,188.08
67a100218d8acdc8201d7bf1,Porsche,Macan,17,Luna,98.46,108.31
67a100218d8acdc8201d7bf2,Porsche,Macan,17,Ventana,83.47,87.64
67a100218d8acdc8201d7bf3,Porsche,Macan,17,Techo,83.77,96.34
67a100218d8acdc8201d7bf4,Porsche,Macan,17,Rueda,74.15,74.15
67a100218d8acdc8201d7bf5,Porsche,Macan,17,Parachoques,106.11,116.72
67a100218d8acdc8201d7bf6,Porsche,Macan,17,Guardabarros,56.29,59.1
67a100218d8acdc8201d7bf7,Porsche,Macan,17,Capo,116.97,128.67
67a100218d8acdc8201d7bf8,Porsche,Macan,17,Maletero,98.93,108.82
67a100218d8acdc8201d7bf9,Porsche,Macan,17,Motor,371.19,482.55
67a100218d8acdc8201d7bfa,Bentley,Flying Spur,2,Puerta,142.05,156.26
67a100218d8acdc8201d7bfb,Bentley,Flying Spur,2,Faro,87.18,91.54
67a100218d8acdc8201d7bfc,Bentley,Flying Spur,2,Parabrisas,167.09,192.15
67a100218d8acdc8201d7bfd,Bentley,Flying Spur,2,Luna,140.29,154.32
67a100218d8acdc8201d7bfe,Bentley,Flying Spur,2,Ventana,77.04,80.89
67a100218d8acdc8201d7bff,Bentley,Flying Spur,2,Techo,206.96,238
67a100218d8acdc8201d7c00,Bentley,Flying Spur,2,Rueda,124.64,124.64
67a100218d8acdc8201d7c01,Bentley,Flying Spur,2,Parachoques,101.74,111.91
67a100228d8acdc8201d7c02,Bentley,Flying Spur,2,Guardabarros,105.75,111.04
67a100228d8acdc8201d7c03,Bentley,Flying Spur,2,Capo,217.21,238.93
67a100228d8acdc8201d7c04,Bentley,Flying Spur,2,Maletero,120.26,132.29
67a100228d8acdc8201d7c05,Bentley,Flying Spur,2,Motor,291.43,378.86
67a100228d8acdc8201d7c06,Kia,Sportage,17,Puerta,138.08,151.89
67a100228d8acdc8201d7c07,Kia,Sportage,17,Faro,73.12,76.78
67a100228d8acdc8201d7c08,Kia,Sportage,17,Parabrisas,138.22,158.95
67a100228d8acdc8201d7c09,Kia,Sportage,17,Luna,113.43,124.77
67a100228d8acdc8201d7c0a,Kia,Sportage,17,Ventana,78.19,82.1
67a100228d8acdc8201d7c0b,Kia,Sportage,17,Techo,105.65,121.5
67a100228d8acdc8201d7c0c,Kia,Sportage,17,Rueda,75.46,75.46
67a100228d8acdc8201d7c0d,Kia,Sportage,17,Parachoques,101.66,111.83
67a100228d8acdc8201d7c0e,Kia,Sportage,17,Guardabarros,66.5,69.83
67a100228d8acdc8201d7c0f,Kia,Sportage,17,Capo,139.44,153.38
67a100228d8acdc8201d7c10,Kia,Sportage,17,Maletero,104.01,114.41
67a100228d8acdc8201d7c11,Kia,Sportage,17,Motor,235.28,305.86
67a100228d8acdc8201d7c12,Suzuki,SX4,15,Puerta,150.29,165.32
67a100228d8acdc8201d7c13,Suzuki,SX4,15,Faro,66.69,70.02
67a100228d8acdc8201d7c14,Suzuki,SX4,15,Parabrisas,181.01,208.16
67a100228d8acdc8201d7c15,Suzuki,SX4,15,Luna,130.25,143.28
67a100228d8acdc8201d7c16,Suzuki,SX4,15,Ventana,89.36,93.83
67a100228d8acdc8201d7c17,Suzuki,SX4,15,Techo,84.86,97.59
67a100228d8acdc8201d7c18,Suzuki,SX4,15,Rueda,53.53,53.53
67a100228d8acdc8201d7c19,Suzuki,SX4,15,Parachoques,125.69,138.26
67a100228d8acdc8201d7c1a,Suzuki,SX4,15,Guardabarros,79.36,83.33
67a100228d8acdc8201d7c1b,Suzuki,SX4,15,Capo,121.35,133.49
67a100228d8acdc8201d7c1c,Suzuki,SX4,15,Maletero,67.86,74.65
67a100238d8acdc8201d7c1d,Suzuki,SX4,15,Motor,287.41,373.63
67a100238d8acdc8201d7c1e,Subaru,Legacy,18,Puerta,64.79,71.27
67a100238d8acdc8201d7c1f,Subaru,Legacy,18,Faro,64.74,67.98
67a100238d8acdc8201d7c20,Subaru,Legacy,18,Parabrisas,103.29,118.78
67a100238d8acdc8201d7c21,Subaru,Legacy,18,Luna,130.35,143.39
67a100238d8acdc8201d7c22,Subaru,Legacy,18,Ventana,81.05,85.1
67a100238d8acdc8201d7c23,Subaru,Legacy,18,Techo,131.85,151.63
67a100238d8acdc8201d7c24,Subaru,Legacy,18,Rueda,70.4,70.4
67a100238d8acdc8201d7c25,Subaru,Legacy,18,Parachoques,82.85,91.14
67a100238d8acdc8201d7c26,Subaru,Legacy,18,Guardabarros,109.81,115.3
67a100238d8acdc8201d7c27,Subaru,Legacy,18,Capo,93.83,103.21
67a100238d8acdc8201d7c28,Subaru,Legacy,18,Maletero,97.78,107.56
67a100238d8acdc8201d7c29,Subaru,Legacy,18,Motor,241.16,313.51
67a100238d8acdc8201d7c2a,Opel,Astra,12,Puerta,88.39,97.23
67a100238d8acdc8201d7c2b,Opel,Astra,12,Faro,57.76,60.65
67a100238d8acdc8201d7c2c,Opel,Astra,12,Parabrisas,199.52,229.45
67a100238d8acdc8201d7c2d,Opel,Astra,12,Luna,121.16,133.28
67a100238d8acdc8201d7c2e,Opel,Astra,12,Ventana,94.5,99.23
67a100238d8acdc8201d7c2f,Opel,Astra,12,Techo,172.35,198.2
67a100238d8acdc8201d7c30,Opel,Astra,12,Rueda,88.26,88.26
67a100238d8acdc8201d7c31,Opel,Astra,12,Parachoques,132.3,145.53
67a100238d8acdc8201d7c32,Opel,Astra,12,Guardabarros,117.67,123.55
67a100238d8acdc8201d7c33,Opel,Astra,12,Capo,154.16,169.58
67a100238d8acdc8201d7c34,Opel,Astra,12,Maletero,114.69,126.16
67a100238d8acdc8201d7c35,Opel,Astra,12,Motor,351.08,456.4
67a100238d8acdc8201d7c36,Suzuki,Vitara,8,Puerta,120.59,132.65
67a100238d8acdc8201d7c37,Suzuki,Vitara,8,Faro,136.32,143.14
67a100238d8acdc8201d7c38,Suzuki,Vitara,8,Parabrisas,191.38,220.09
67a100248d8acdc8201d7c39,Suzuki,Vitara,8,Luna,152.28,167.51
67a100248d8acdc8201d7c3a,Suzuki,Vitara,8,Ventana,95.68,100.46
67a100248d8acdc8201d7c3b,Suzuki,Vitara,8,Techo,169.79,195.26
67a100248d8acdc8201d7c3c,Suzuki,Vitara,8,Rueda,86.89,86.89
67a100248d8acdc8201d7c3d,Suzuki,Vitara,8,Parachoques,167.84,184.62
67a100248d8acdc8201d7c3e,Suzuki,Vitara,8,Guardabarros,117.58,123.46
67a100248d8acdc8201d7c3f,Suzuki,Vitara,8,Capo,98.28,108.11
67a100248d8acdc8201d7c40,Suzuki,Vitara,8,Maletero,80.27,88.3
67a100248d8acdc8201d7c41,Suzuki,Vitara,8,Motor,447.68,581.98
67a100248d8acdc8201d7c42,Volkswagen,Passat,6,Puerta,193.75,213.13
67a100248d8acdc8201d7c43,Volkswagen,Passat,6,Faro,114.99,120.74
67a100248d8acdc8201d7c44,Volkswagen,Passat,6,Parabrisas,233.74,268.8
67a100248d8acdc8201d7c45,Volkswagen,Passat,6,Luna,203.92,224.31
67a100248d8acdc8201d7c46,Volkswagen,Passat,6,Ventana,81.22,85.28
67a100248d8acdc8201d7c47,Volkswagen,Passat,6,Techo,133.25,153.24
67a100248d8acdc8201d7c48,Volkswagen,Passat,6,Rueda,68.86,68.86
